id,name,stationId,order
bodmin-town-leat,Bodmin Town Leat,3395,1
bradiford-water,Bradiford Water,3109,1
budleigh-brook,Budleigh Brook,3348,1
budleigh-brook,Budleigh Brook,3236,2
carnon-river,Carnon River,3161,1
coney-gut,Coney Gut,3117,1
coney-gut,Coney Gut,3108,2
dawlish-water,Dawlish Water,3404,1
de-lank-river,De Lank River,3136,1
east-dart-river,East Dart River,3215,1
east-lyn-river,East Lyn River,3099,1
east-okement-river,East Okement River,3407,1
east-wilder-brook,East Wilder Brook,3359,1
exminster-marshes,Exminster Marshes,3253,1
exminster-marshes,Exminster Marshes,3241,2
river-harbourne,River Harbourne,3210,1
river-harbourne,River Harbourne,3217,2
river-harbourne,River Harbourne,3360,3
lariggan-river,Lariggan River,3390,1
little-dart-river,Little Dart River,3118,1
long-brook,Long brook,3198,1
mevagissey-stream,Mevagissey Stream,3393,1
penberth-stream,Penberth Stream,3339,1
st-austell-river,St Austell River,3155,1
st-austell-river,St Austell River,3157,2
bolingey-stream,Bolingey Stream,3173,1
perrancombe-stream,Perrancombe Stream,3175,1
perrancombe-stream,Perrancombe Stream,3168,2
perrancombe-stream,Perrancombe Stream,3391,3
river-allen-cornwall-north,River Allen,3145,1
river-allen-cornwall-south,River Allen,3171,1
red-cornwall,Red,3389,1
river-ashburn,River Ashburn,3221,1
river-ashburn,River Ashburn,3222,2
river-avon-devon,River Avon,3220,1
river-avon-devon,River Avon,3218,2
river-axe-devon,River Axe,3227,1
river-axe-devon,River Axe,3350,2
river-axe-devon,River Axe,3229,3
river-axe-devon,River Axe,3238,4
river-barle,River Barle,3242,1
river-barle,River Barle,3257,2
river-batherm,River Batherm,3345,1
river-bovey,River Bovey,3225,1
river-bovey,River Bovey,3207,2
river-bray,River Bray,3112,1
river-caen,River Caen,3351,1
river-caen,River Caen,3346,2
river-caen,River Caen,3119,3
river-camel,River Camel,3134,1
river-camel,River Camel,9149,2
river-camel,River Camel,3153,3
river-camel,River Camel,3132,4
river-clyst,River Clyst,3249,1
river-clyst,River Clyst,3355,2
river-clyst,River Clyst,3250,3
river-cober,River Cober,3392,1
river-cober,River Cober,3160,2
river-cober,River Cober,3338,3
river-cober,River Cober,3169,4
river-coly,River Coly,3232,1
river-creedy,River Creedy,3245,1
river-creedy,River Creedy,3261,2
river-culm,River Culm,3347,1
river-culm,River Culm,3259,2
river-culm,River Culm,3247,3
river-dart,River Dart,3216,1
river-dart,River Dart,3406,2
river-dart,River Dart,3363,3
river-erme,River Erme,3208,1
river-erme,River Erme,3219,2
river-exe,River Exe,3254,1
river-exe,River Exe,3256,2
river-exe,River Exe,3258,3
river-exe,River Exe,3246,4
river-exe,River Exe,3260,5
river-exe,River Exe,3262,6
river-exe,River Exe,3251,7
river-exe,River Exe,9010,8
river-exe,River Exe,3094,9
river-fal,River Fal,3174,1
river-fal,River Fal,3164,2
river-fowey,River Fowey,3142,1
river-fowey,River Fowey,3139,2
river-fowey,River Fowey,3152,3
river-fowey,River Fowey,3386,4
river-gannel,River Gannel,3135,1
river-hayle,River Hayle,3166,1
river-hayle,River Hayle,3165,2
river-hayle,River Hayle,3172,3
river-inny,River Inny,3181,1
river-kenn-tributary,River Kenn Tributary,3356,1
river-kennall,River Kennall,3385,1
river-kensey,River Kensey,3192,1
river-kensey,River Kensey,3337,2
river-kenwyn,River Kenwyn,3163,1
river-lemon,River Lemon,3209,1
river-lemon,River Lemon,3223,2
river-lemon,River Lemon,3205,3
river-lemon,River Lemon,3354,4
river-lemon,River Lemon,9009,5
river-lew,River Lew,3121,1
river-lowman,River Lowman,3248,1
river-lowman,River Lowman,9008,2
river-lyd-devon,River Lyd,3202,1
river-lynher,River Lynher,3184,1
river-mardle,River Mardle,9015,1
river-mole-devon,River Mole,3110,1
river-mole-devon,River Mole,3096,2
river-mole-devon,River Mole,3127,3
river-neet,River Neet,3131,1
river-neet,River Neet,3151,2
river-okement,River Okement,3122,1
river-otter,River Otter,3239,1
river-otter,River Otter,3237,2
river-ottery,River Ottery,3384,1
river-ottery,River Ottery,3191,2
river-ottery,River Ottery,3341,3
par-river,Par River,3159,1
par-river,Par River,3167,2
river-plym,River Plym,3197,1
river-pol,River Pol,3144,1
river-seaton,River Seaton,3133,1
river-sid,River Sid,3240,1
river-sid,River Sid,3233,2
river-strat,River Strat,3149,1
river-tale,River Tale,3235,1
river-tamar,River Tamar,3334,1
river-tamar,River Tamar,3336,2
river-tamar,River Tamar,3187,3
river-tamar,River Tamar,3203,4
river-tamar,River Tamar,3195,5
river-tamar,River Tamar,3201,6
river-tavy,River Tavy,3185,1
river-tavy,River Tavy,3340,2
river-tavy,River Tavy,3196,3
river-taw,River Taw,3100,1
river-taw,River Taw,3123,2
river-taw,River Taw,3113,3
river-taw,River Taw,3106,4
river-teign,River Teign,3214,1
river-teign,River Teign,3206,2
river-teign,River Teign,3226,3
river-teign,River Teign,3361,4
river-thrushel,River Thrushel,3194,1
river-thrushel,River Thrushel,3178,2
river-tiddy,River Tiddy,3179,1
river-torridge,River Torridge,3124,1
river-torridge,River Torridge,3125,2
river-torridge,River Torridge,3126,3
river-torridge,River Torridge,3103,4
river-umber,River Umber,3357,1
river-valency,River Valency,3401,1
river-valency,River Valency,3402,2
river-valency,River Valency,3138,3
river-waldon,River Waldon,3102,1
river-walkham,River Walkham,3200,1
river-wolf,River Wolf,3343,1
river-yarty,River Yarty,3231,1
river-yealm,River Yealm,3188,1
river-yealm,River Yealm,3193,2
river-yeo-lapford,River Yeo,3128,1
river-yeo-lapford,River Yeo,3104,2
river-yeo-lapford,River Yeo,3098,3
river-yeo-creedy,River Yeo,3244,1
spratford-stream,Spratford Stream,9014,1
st-neot-river,St Neot River,3147,1
st-blazey-stream,St Blazey Stream,3394,1
river-stennack,River Stennack,3418,1
the-gissage,The Gissage,3349,1
tory-brook,Tory Brook,3199,1
tresillian-river,Tresillian River,3170,1
umborne-brook,Umborne Brook,3228,1
coastal-stream,Coastal Stream,3387,1
warleggan-river,Warleggan River,3141,1
west-dart-river,West Dart River,3212,1
river-north-lew,River North Lew,3111,1
west-lyn-river,West Lyn River,3358,1
withy-brook,Withy Brook,3190,1
kingsbridge-estuary,Kingsbridge Estuary,9012,1
kingsbridge-estuary,Kingsbridge Estuary,9011,2
river-ant,River Ant,6216,1
chad-brook,Chad Brook,6136,1
rattlesden-river,Rattlesden River,6091,1
river-alde,River Alde,6085,1
river-alde,River Alde,6298,2
river-alde,River Alde,6296,3
river-blackwater-essex,River Blackwater,6142,1
river-blackwater-essex,River Blackwater,6143,2
river-box,River Box,6080,1
river-box,River Box,6081,2
river-brain,River Brain,6144,1
river-brett,River Brett,6079,1
river-brett,River Brett,6082,2
river-bure,River Bure,6094,1
river-bure,River Bure,6099,2
river-bure,River Bure,6211,3
river-bure,River Bure,6215,4
river-bure,River Bure,6203,5
river-bure,River Bure,6202,6
river-burn,River Burn,6093,1
river-can,River Can,6149,1
river-chelmer,River Chelmer,6145,1
river-chelmer,River Chelmer,6146,2
river-chelmer,River Chelmer,6147,3
river-colne-essex,River Colne,6138,1
river-colne-essex,River Colne,6139,2
river-colne-essex,River Colne,6140,3
river-colne-essex,River Colne,6003,4
river-crouch,River Crouch,6129,1
river-crouch,River Crouch,6127,2
river-gipping,River Gipping,6086,1
river-glem,River Glem,6135,1
river-ore,River Ore,6089,1
river-pant,River Pant,6141,1
river-pant,River Pant,6130,2
river-stiffkey,River Stiffkey,6100,1
river-stour-essex,River Stour,6131,1
river-stour-essex,River Stour,6134,2
river-stour-essex,River Stour,6126,3
river-stour-essex,River Stour,6128,4
river-stour-essex,River Stour,6137,5
hickling-broad,Hickling Broad,6210,1
river-thurne,River Thurne,6217,1
river-waveney,River Waveney,6088,1
river-waveney,River Waveney,6083,2
river-waveney,River Waveney,6204,3
river-waveney,River Waveney,6209,4
river-waveney,River Waveney,6207,5
river-waveney,River Waveney,6206,6
river-waveney,River Waveney,6212,7
river-wensum,River Wensum,6098,1
river-wensum,River Wensum,6125,2
river-wid,River Wid,6148,1
river-wid,River Wid,6201,2
river-wid,River Wid,6200,3
river-yare,River Yare,6095,1
river-yare,River Yare,6205,2
river-yare,River Yare,6214,3
river-yare,River Yare,6208,4
river-yare,River Yare,6213,5
sandon-brook,Sandon Brook,6188,1
stour-brook,Stour Brook,6132,1
river-deben,River Deben,6087,1
river-deben,River Deben,6297,2
ogden-brook,Ogden Brook,5082,1
arrowe-brook,Arrowe Brook,5002,1
baguley-brook,Baguley Brook,5197,1
sinderland-brook,Sinderland Brook,5107,1
eagley-brook,Eagley Brook,5200,1
glaze-brook,Glaze Brook,5228,1
glossop-brook,Glossop Brook,5079,1
limey-water,Limey Water,5116,1
netherley-brook,Netherley Brook,5203,1
poynton-brook,Poynton Brook,5201,1
river-beal,River Beal,5229,1
river-beal,River Beal,5134,2
river-bollin,River Bollin,5102,1
river-bollin,River Bollin,5114,2
river-bollin,River Bollin,5153,3
river-bollin,River Bollin,5016,4
river-croal,River Croal,5049,1
river-dane,River Dane,5073,1
river-dane,River Dane,5036,2
river-dane,River Dane,5121,3
dean,Dean,5133,1
river-etherow,River Etherow,5154,1
river-etherow,River Etherow,5035,2
river-gowy,River Gowy,5019,1
river-goyt,River Goyt,5232,1
river-goyt,River Goyt,5096,2
river-irk,River Irk,5034,1
river-irwell,River Irwell,5195,1
river-irwell,River Irwell,5075,2
river-irwell,River Irwell,5136,3
river-irwell,River Irwell,5115,4
river-irwell,River Irwell,5026,5
river-irwell,River Irwell,5230,6
river-irwell,River Irwell,5076,7
river-irwell,River Irwell,5095,8
river-irwell,River Irwell,5003,9
river-medlock,River Medlock,5194,1
river-medlock,River Medlock,5088,2
river-mersey,River Mersey,5021,1
river-mersey,River Mersey,5101,2
river-mersey,River Mersey,5008,3
river-mersey,River Mersey,5052,4
river-mersey,River Mersey,5149,5
river-mersey,River Mersey,5050,6
river-mersey,River Mersey,5084,7
river-roch,River Roch,5199,1
river-roch,River Roch,5004,2
river-roch,River Roch,5231,3
river-roch,River Roch,5013,4
